,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,playlist_id,playlist_name,playlist_tracks,added_at,added_by,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
149,11IAzj9706fIKBVCJyMNNt,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",0.46,audio_features,False,False,188606,1,5,0mJDQBWytBhOh5JB1DOQ1c,Jasmine Sandlas,0LyfQWJT6nXafLPZqxe9Of,Various Artists,7MyTUMZsWW136nNfMXCY3C,Hits Of Tanishk Bagchi,2020-03-17,12,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['desi pop', 'punjabi pop']",[],0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,spotify:track:11IAzj9706fIKBVCJyMNNt,https://api.spotify.com/v1/tracks/11IAzj9706fIKBVCJyMNNt,https://api.spotify.com/v1/audio-analysis/11IAzj9706fIKBVCJyMNNt,4
150,7F8RNvTQlvbeBLeenycvN6,Kun Faya Kun,0.67,audio_features,False,False,470500,1,4,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,3RZxrS2dDZlbsYtMRM89v8,Rockstar,2011-10-01,15,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549,spotify:track:7F8RNvTQlvbeBLeenycvN6,https://api.spotify.com/v1/tracks/7F8RNvTQlvbeBLeenycvN6,https://api.spotify.com/v1/audio-analysis/7F8RNvTQlvbeBLeenycvN6,4
151,18YHbIhrleUkKKj2DvEp79,Zara Sa,0.7,audio_features,False,False,303680,1,1,1wRPtKGflJrBx9BmLsSwlU,Pritam,1wRPtKGflJrBx9BmLsSwlU,Pritam,153Qw0xXJqhEFxvm9M9rE8,Jannat (Original Motion Picture Soundtrack),2008-03-07,8,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']","['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.468,0.91,11,-3.057,0,0.051,0.12,0.000304,0.271,0.694,163.842,spotify:track:18YHbIhrleUkKKj2DvEp79,https://api.spotify.com/v1/tracks/18YHbIhrleUkKKj2DvEp79,https://api.spotify.com/v1/audio-analysis/18YHbIhrleUkKKj2DvEp79,4
152,4TFh1R29MFsUNmxkt8B3MU,Must Qalandar (Live),0.08,audio_features,False,False,344235,1,10,6nyfDdTwCLGrbCFikT8PTK,Junoon,6nyfDdTwCLGrbCFikT8PTK,Junoon,5HGX0AsoyUQNhG9lC1i6Z7,Parvaaz,1999-06-07,10,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['classic pakistani pop', 'ghazal', 'pakistani pop']","['classic pakistani pop', 'ghazal', 'pakistani pop']",0.371,0.957,9,-6.46,1,0.167,0.269,0.0,0.976,0.331,105.952,spotify:track:4TFh1R29MFsUNmxkt8B3MU,https://api.spotify.com/v1/tracks/4TFh1R29MFsUNmxkt8B3MU,https://api.spotify.com/v1/audio-analysis/4TFh1R29MFsUNmxkt8B3MU,4
153,4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),0.75,audio_features,False,True,149297,1,1,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,3P5WIUJO0Ots1lQx09TOxk,Lonely (with benny blanco),2020-10-16,1,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['canadian pop', 'pop']","['canadian pop', 'pop']",0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,spotify:track:4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/tracks/4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,4
154,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",0.8,audio_features,False,True,207320,1,11,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['dance pop', 'pop']","['dance pop', 'pop']",0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,4
155,7vJS1DPc3FzBtqBs8n3mW5,Bad To You (with Normani & Nicki Minaj),0.55,audio_features,False,False,171840,1,2,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,0LyfQWJT6nXafLPZqxe9Of,Various Artists,4NBuascXb3uK0mFUYuJ63f,Charlie's Angels (Original Motion Picture Soundtrack),2019-11-01,11,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['dance pop', 'pop']",[],0.727,0.583,7,-7.385,0,0.0718,0.065,0.0,0.106,0.629,147.983,spotify:track:7vJS1DPc3FzBtqBs8n3mW5,https://api.spotify.com/v1/tracks/7vJS1DPc3FzBtqBs8n3mW5,https://api.spotify.com/v1/audio-analysis/7vJS1DPc3FzBtqBs8n3mW5,4
173,6KdTA6s7zmqLyB5ZNvVta0,Thagyan,0.57,audio_features,False,False,307976,1,1,0M4wzwZKh9SSHkOXYNvQlP,Zain Zohaib,0M4wzwZKh9SSHkOXYNvQlP,Zain Zohaib,0tcyDiVe5YVzXXocO1nk1m,Thagyan,2022-03-14,1,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['pakistani pop', 'sufi']","['pakistani pop', 'sufi']",0.707,0.637,10,-8.55,0,0.107,0.0786,0.0,0.0625,0.614,105.016,spotify:track:6KdTA6s7zmqLyB5ZNvVta0,https://api.spotify.com/v1/tracks/6KdTA6s7zmqLyB5ZNvVta0,https://api.spotify.com/v1/audio-analysis/6KdTA6s7zmqLyB5ZNvVta0,4
174,6NEEbZXla00cRzXErdNZ6k,GO,0.57,audio_features,False,False,348231,1,1,3PbkSdpJnYRF18jau74b7R,Abdullah Siddiqui,3PbkSdpJnYRF18jau74b7R,Abdullah Siddiqui,1LI1KTW2X2oUc7AOUvB1cC,GO,2022-03-17,1,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['pakistani indie', 'pakistani pop']","['pakistani indie', 'pakistani pop']",0.631,0.587,7,-7.813,1,0.0421,0.319,0.0,0.0692,0.373,81.989,spotify:track:6NEEbZXla00cRzXErdNZ6k,https://api.spotify.com/v1/tracks/6NEEbZXla00cRzXErdNZ6k,https://api.spotify.com/v1/audio-analysis/6NEEbZXla00cRzXErdNZ6k,4
175,46IZ0fSY2mpAiktS3KOqds,Easy On Me,0.83,audio_features,False,False,224695,1,2,4dpARuHxo51G3z768sgnrY,Adele,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,30,2021-11-19,12,album,7Lw86noTKmFGWXs7izjPnB,My skip from life,604,2022-06-07T14:05:35Z,"{'external_urls': {'spotify': 'https://open.spotify.com/user/31fpbw4bic434tdwyoefypduu2eu'}, 'href': 'https://api.spotify.com/v1/users/31fpbw4bic434tdwyoefypduu2eu', 'id': '31fpbw4bic434tdwyoefypduu2eu', 'type': 'user', 'uri': 'spotify:user:31fpbw4bic434tdwyoefypduu2eu'}","['british soul', 'pop', 'pop soul', 'uk pop']","['british soul', 'pop', 'pop soul', 'uk pop']",0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,spotify:track:46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,4
